ID	Title	Type de document	Dernière modification	Cote	Datum	Auteur	Destinataire	Résumé
489		Brief	2022-10-19 09:00:30		1818-00-22	Salm, Constance de	Hatzfeldt, Fürst von	Glückwünsche [zum Geburtstag?] in Versform.
781		Brief	2022-10-27 13:09:40			Salm, Constance de	Francq, Agathe Clémence, baronne de	Langeweile des Landlebens. Schlechtes Wetter, was für die beginnende Ernte nicht gut ist [Juli ?]. Domestikenwechsel auf Schloss Dyck. Besuch beim Landrat im „Hubhrath“ [= Hubbelrath ?]. CdS empfiehlt ihrer Tochter, sich zu schonen und sich wegen ihres Mannes nicht zu viele Sorgen zu machen. Kranke Männer sind einfach schlechter Laune, CdS kennt das mit SRD. CdS vermisst ihre Tochter, hofft, im Winter nach Paris zu kommen. Gerüchte über einen möglichen Kriegsausbruch. CdS empfiehlt die Bäder von Aachen, die Louis de Francq gut tun würden; außerdem ist Aachen für das gesellschaftliche Leben interessant. CdS hat eine Liste der Persönlichkeiten, darunter Feldmarschall von Berg, im Dienste des Königs der Niederlande. CdS möchte dort eine Wohnung nehmen, SRD ist nicht dafür, aber CdS hält es nicht aus, die ganze Zeit in Dyck zu bleiben. Treffen mit der Landrätin. Wenige Briefe von ihren Freunden aus Paris, nach dem Motto „aus den Augen aus dem Sinn“.
2774		Brief	2022-10-26 08:39:27		0000-10-06	Salm, Constance de	Prous, Henry	Bevorstehende Besuche auf Dyck : u.a. Herr und Frau Konrad von der Leyen, Frau v. Wittgenstein. Gesundheitsbeschwerden der CdS.
2775		Brief	2022-10-25 13:57:08		1821-00-00	Salm, Constance de	Prous, Henry	Nachrichten über die politisch-diplomatischen Angebote des Duke of Wellington an den König von Preußen wegen des Rheinlands. Besuche aus Dyck, darunter Salm’sche Verwandtschft. Gesundheitsprobleme mit der Bauchspeicheldrüse.
2776		Brief	2024-07-05 09:02:39		1812-08-05	Salm, Constance de	Prous, Henry	Rückgabe eines Buchs. Lob der Verse des Prous. Anregung, nach Dyck zu ihrer Gesellschaft zu kommen. Fröhliche Stimmung der CdS.
2777		Brief	2022-10-19 09:00:30	C06/S43/014	1815-00-26	Salm, Constance de	Prous, Henry	Ironische Nachfrage zum Wohlergehen des P. Einladung zur Geburtstagsfeier des SRD.
2778		Brief	2022-10-27 12:40:43	C06/S43/034-035	1815-12-24	Salm, Constance de	Prous, Henry	Leidiges Thema der Unterkunft in Ps Brief betrifft auch CdS. Belastung durch nicht immer ruhig verlaufende Unterbringung von Militärs. Eindringen der im Dorf untergebrachten Offiziere in den Hof von Schloss Dyck. Berichte der Soldaten, dass sie sich in Frankreich einquartieren können, wo sie wollen. Gefallen der Soldaten, Frankreich Gerechtigkeit widerfahren zu lassen. Wilde Beschreibung der bretonischen Bauern durch Soldaten und Erstaunen der CdS. Abreise und Neuankunft verschiedener Militärs. Eventuelle Begnadigung des M. Lavalette. Beruhigung der Situation in Frankreich. Gesundheitliche Beschwerden der CdS. Wohlergehen des M. Kopp und Erkenntnis, dass man erst nach überstandener Belastung krank wird.
2779		Brief	2022-10-27 13:10:35	C06/S43/036-037	1815-12-29	Salm, Constance de	Prous, Henry	Freude über Brief des P. aus Frankreich. Ungemütliche Lage in Dyck (auch aufgrund der dortigen Militärunterkünfte) und schlechter Gesundheitszustand der CdS. Anwesenheit eines freundlichen Generals und seines Sohns. Aussage über einen M. xxxx, er sei nicht würdig, Franzose zu sein. Gefängnisausbruch des M. Lavalette. Beilage der „Gazette” und Veränderung in einem Pariser Theaterprogramm.
2780		Brief	2022-10-26 12:12:24		1816-00-14	Salm, Constance de	Prous, Henry	Zeitungsabonnements. Nachrichten aus den deutschen Zeitungen über Frau de Lavalette, Cambacérès (drohende Inhaftierung), politische Amnestie nach der napoleonischen Zeit; Ironie gegen die „Chartreux“ [Befürworter der Charta der Restauration in Frankreich], und die „Hideux“ [= Wortspiel „Hässliche“, Vertreter der Ideen des Hyde de Neuville]. Weitere Nachrichten: Ernennung des Johann August Sack („Monsieur de Sack“) als Oberpräsident in Pommern, und Abreise des Jacobi nach Pommern. Gäste in Dyck (Militär). Zahnschmerzen der Louise (Prous).
2781		Brief	2022-10-27 12:43:23	C06/S43/061-062	1816-02-27	Salm, Constance de	Prous, Henry	Eine Tante des P. und Louise sind in Dyck willkommen. Unbegründete Gerüchte und Abreise des SRD. Zeitungsbericht über Reisepläne des russischen Zaren. Tod des Martini nach Erhalt einer Auszeichnung und Komplimenten des Königs nach einer Messe am 21.1.
